customerId,customerFName,customerLName,customerCity
269,Jeffrey,Simon,Chicago
272,Mary,Long,Caguas
273,Benjamin,Smith,Jamaica
274,Mary,Moyer,San Antonio
275,Robert,Smith,Caguas
276,Christina,Wright,West Covina
277,Roger,Hunt,Caguas
278,Mary,Graves,Brooklyn
279,Anna,Smith,Bayamon
280,Mary,Ortiz,Caguas
283,Mary,Smith,Wilmington
284,John,Harrington,Caguas
285,Shirley,Smith,Lancaster
286,Mary,Baker,Santa Cruz
287,Andrew,Salazar,Caguas
288,Judith,Smith,San Juan
289,Diana,Richards,Morristown
290,Mary,Garza,Caguas
291,John,Smith,Bristol
292,Mary,Estrada,Columbus
293,Christopher,Prince,Caguas
295,Julie,Tanner,Caguas
296,Mary,Mullen,Detroit
297,Catherine,Smith,Caguas
300,Mary,Key,Plano
301,Arthur,Smith,Caguas
302,Mary,Nguyen,Fullerton
303,Thomas,Rowe,Caguas
304,Christopher,Smith,New Haven
305,Mary,Lawrence,Caguas
306,Alan,Boyle,Phoenix
307,Mary,Smith,Baltimore
309,Phillip,Smith,Caguas
310,Mary,Fox,York
311,Michael,Townsend,Austin
312,Jack,Smith,Houston
313,Mary,Stark,Caguas
315,Danielle,Hampton,Modesto
316,Mary,Smith,Caguas
317,Deborah,Salazar,Wayne
318,Samantha,Smith,Caguas
319,Arthur,Brown,Chicago
320,Mary,Brooks,Chicago
322,Barbara,Kemp,Caguas
323,Joshua,Smith,New York
326,Shirley,Stafford,Caguas
328,William,Morrison,Caguas
329,Samantha,Higgins,Miami
330,Mary,Smith,Caguas
331,Alexander,Russell,Tempe
332,Mary,Smith,Placentia
333,Elizabeth,Ferguson,Caguas
334,Kathleen,Oconnor,Tracy
335,Mary,Smith,Caguas
338,Ryan,Smith,Caguas
339,Mary,Greene,Long Beach
340,Theresa,Wiggins,Denton
341,Mary,Smith,Carlsbad
342,Jerry,Jackson,Caguas
343,Douglas,Joseph,San Antonio
346,Edward,Stephens,Caguas
347,Bryan,Marsh,Dallas
348,Mary,Smith,Caguas
349,Aaron,Berger,Florissant
350,Mary,Smith,Caguas
351,John,Singh,Stockton
352,Gregory,Smith,Caguas
355,Katherine,Barker,Carmichael
356,Roger,Smith,Catonsville
357,Mary,King,Caguas
358,Megan,Lynch,San Antonio
360,Ashley,Smith,Summerville
361,Alexander,Shaw,Caguas
362,Mary,Smith,Diamond Bar
363,Jennifer,Obrien,Caguas
364,Jason,Mcmahon,Tulare
365,Shirley,Smith,Garden Grove
367,Mary,Smith,San Francisco
370,Mary,Smith,Caguas
371,Adam,Marquez,San Antonio
373,George,Sandoval,Union City
375,Mark,Smith,Dallas
378,John,Stewart,Roswell
379,David,Briggs,Wyandotte
380,Linda,Smith,Caguas
384,Mildred,Cunningham,Las Vegas
385,Mary,Smith,Caguas
386,Janet,Wallace,Richmond
388,Robert,Smith,Los Angeles
389,Angela,Sanford,Modesto
390,Mary,Smith,Caguas
391,Gloria,Greene,Saginaw
392,Beverly,Hanson,Doylestown
393,Mary,Chambers,Caguas
394,David,Smith,Lakewood
395,Edward,Castro,Revere
396,Deborah,Smith,Richmond
397,Mary,Delgado,Cumberland
398,Teresa,Smith,Caguas
399,Mary,Perez,Las Vegas
402,Mary,Brooks,Caguas
403,Nancy,Fox,Las Vegas
405,Kathleen,Smith,Fort Lauderdale
406,Grace,Patel,Asheboro
407,Mary,Fischer,Atlanta
408,Elizabeth,Raymond,Caguas
409,Kevin,Smith,Greensboro
410,Jack,Moore,Caguas
411,Mary,Smith,Washington
412,Cynthia,Crawford,Caguas
413,Mary,Gordon,Potomac
414,Pamela,Smith,Caguas
415,Mary,Allen,San Diego
416,Rachel,Dunn,Caguas
417,Teresa,Smith,New York
418,Mary,Jackson,Gardena
419,James,Smith,Caguas
420,Jose,Wright,Round Rock
421,Mary,Smith,San Ramon
422,Deborah,Moore,Caguas
423,Mary,Weber,Huntington Beach
425,Mary,Sexton,Caguas
426,Susan,Smith,Endicott
427,Paul,Brown,Caguas
428,Andrew,Smith,Spring Valley
430,Mary,Smith,Porterville
431,Michael,Vance,Columbus
433,Mary,Smith,Las Vegas
434,Michael,Torres,Caguas
435,Joan,Barr,Chicago
436,Mary,Smith,Tampa
437,Cynthia,Benjamin,Caguas
438,Diane,Smith,Carlsbad
439,Rose,Delgado,Caguas
440,Mary,Skinner,Brooklyn
442,Mary,Smith,Allentown
443,Barbara,Robinson,Caguas
444,Walter,Lambert,Sunnyvale
445,Mary,Smith,Fort Washington
446,Scott,Harris,Mission Viejo
447,Mary,Nelson,Caguas
449,Mary,Smith,Columbus
453,Mary,Glenn,Lancaster
455,Jeffrey,Smith,Colorado Springs
457,Mary,Smith,Brooklyn
458,Charles,Spencer,San Francisco
460,Vincent,Willis,Milford
461,Mary,Smith,Caguas
462,Sean,Skinner,Newark
463,Harry,Smith,Caguas
464,Mary,Mcintyre,Morrisville
465,Shawn,Smith,Caguas
466,Mary,Savage,Bronx
467,James,Smith,Modesto
468,Mary,Stone,Caguas
469,Randy,Smith,South San Francisco
470,Mary,Cannon,Far Rockaway
471,Helen,Smith,Caguas
472,Mary,Schultz,Bellflower
473,Jason,Smith,Elmhurst
474,Mary,Patton,Philadelphia
476,Mary,Carey,Eugene
477,Dylan,Smith,Caguas
478,Mary,Porter,Plainfield
479,Christopher,Curtis,Caguas
480,Mary,Smith,Austin
481,Ann,Jackson,Los Angeles
483,Mary,Smith,Granada Hills
484,Shirley,Richardson,Hyattsville
485,Mary,George,Caguas
486,John,Smith,Lancaster
487,Kenneth,Brown,Caguas
488,Mary,Dougherty,San Francisco
489,William,Smith,Portland
490,Sandra,Brown,Caguas
491,Debra,Smith,Henderson
492,Mary,Mckinney,Bayamon
493,Joseph,Smith,Caguas
494,Mary,Stanton,Greeley
496,Mary,Allen,Revere
498,Kyle,Smith,Chicago
499,Mary,York,San Diego
501,Mary,Harvey,Caguas
502,Jennifer,May,South Richmond Hill
503,Rachel,Smith,Caguas
504,Cheryl,Livingston,Orange Park
505,Mary,Smith,Scottsdale
506,Richard,Holloway,Caguas
507,Steven,Smith,Simi Valley
508,Ronald,Medina,Rancho Cordova
509,Mary,Smith,Caguas
510,Joseph,Holt,Hialeah
512,Mary,Harris,Fremont
513,Tyler,Smith,Caguas
514,Mary,Johnson,La Habra
515,Helen,Poole,Stockbridge
517,John,Russell,Brooklyn
518,Elizabeth,Smith,Cerritos
520,Mary,Reid,Caguas
521,James,Vaughn,Portland
522,William,Smith,Caguas
523,Christopher,Johnson,Mission Viejo
525,Mary,Munoz,Caguas
526,Kimberly,Barrett,Brownsville
527,Mary,Gregory,Taunton
528,Susan,Smith,Caguas
530,Mary,Smith,Newark
531,Paul,Burns,Caguas
532,Mark,Smith,Sugar Land
533,Olivia,Edwards,Caguas
534,Mary,Morris,Baldwin Park
536,Elizabeth,Smith,Caguas
537,Mary,Cochran,Costa Mesa
538,Joshua,Livingston,Wilmington
539,Marilyn,Smith,Ventura
541,Amanda,Davidson,Lynwood
544,Mary,Smith,Caguas
545,Joe,Andrade,El Cajon
546,Mary,Smith,Clearfield
547,Kathleen,Contreras,Hyattsville
549,Mary,Smith,Sugar Land
550,Betty,Chavez,Lancaster
552,Mary,Harper,Los Angeles
553,Eugene,Smith,Fremont
554,Mary,Branch,Caguas
555,Mildred,Smith,Compton
556,Nathan,Mcbride,Caguas
558,Michael,Mclaughlin,Carlisle
560,Emma,Smith,Richmond
561,Ralph,Griffith,Caguas
562,Mary,Smith,Tracy
563,Harry,Contreras,Los Angeles
564,Mary,Mccann,Caguas
565,Christian,Smith,San Francisco
566,Mary,Mcmahon,Dayton
567,Donna,Smith,Las Vegas
568,Sean,Vaughn,Caguas
569,Mary,Frye,Meridian
571,Mary,Smith,Caguas
573,Mary,Smith,Washington
574,Randy,Bond,Joliet
575,Mary,Smith,Rancho Cucamonga
577,Mary,Smith,Caguas
579,Mary,Smith,New Orleans
581,Mary,Lara,West New York
582,Kenneth,Smith,Garland
583,Mary,Wright,San Marcos
584,Tyler,Berger,Caguas
586,Patricia,Jefferson,San Marcos
587,Patrick,Smith,Ogden
588,Roy,Clark,Caguas
589,Mary,Reynolds,Oxnard
590,Paul,Black,Meridian
591,Rose,Smith,Caguas
592,Mary,Huynh,Detroit
593,Juan,Ashley,Caguas
594,Mary,Cowan,Lynnwood
595,Brian,Smith,Caguas
596,Mary,Serrano,Pompano Beach
597,Samantha,Smith,Caguas
598,Mary,Levy,Paramount
599,Doris,Smith,Caguas
600,Mary,Jenkins,Bend
602,Rebecca,Huff,Brooklyn
604,Mary,Chapman,Caguas
606,Mary,Smith,Newark
607,Richard,Reed,Caguas
608,Carol,Smith,Fairfield
610,Mary,Smith,New York
612,Mary,Cochran,Caguas
613,Emma,Smith,South Ozone Park
614,Jack,Benson,Caguas
617,Stephanie,Smith,Caguas
618,Mary,Davis,Jackson Heights
619,Matthew,Sutton,Houston
620,Roger,Smith,Caguas
622,Karen,Davies,Caguas
623,Judith,Smith,Tempe
624,Mary,Ruiz,Oceanside
625,Terry,Smith,Caguas
626,Mary,Weeks,Dallas
627,Robert,Smith,Honolulu
628,Margaret,Olson,Caguas
629,Matthew,Huffman,Van Nuys
630,Jacob,Smith,Caguas
631,Mary,Colon,Brooklyn
632,George,Smith,Grand Prairie
635,Mary,Smith,Caguas
636,Albert,Merritt,Long Beach
637,Mary,Smith,Caguas
638,Michael,Johnson,Bridgeton
639,Elizabeth,Pittman,Caguas
640,Jean,Smith,New Castle
641,Mary,Hamilton,Plainfield
643,Tammy,Boyd,New Orleans
644,Mary,Smith,Caguas
645,Mary,Conner,Cupertino
650,Austin,Sexton,Caguas
651,Mary,Smith,Santa Fe
652,Joseph,Thompson,Alpharetta
653,Jason,Haas,Caguas
654,Mary,Smith,Orange Park
655,Joseph,Dougherty,Caguas
656,Julie,Smith,Pomona
657,Mary,Bowers,Caguas
658,Peter,Farley,Irwin
659,Mary,Smith,Greenville
660,Shirley,Baker,Caguas
661,Mary,Montgomery,Detroit
662,Michelle,Moss,Caguas
663,Mary,Smith,Pacoima
664,Bobby,Jimenez,Holland
665,Mary,Smith,Caguas
666,Amanda,Simpson,Orange Park
667,Mary,Smith,Caguas
668,Phillip,Lewis,Peoria
670,Mary,Smith,Caguas
671,Anthony,Reyes,Tucson
672,Mary,Marsh,Caguas
673,James,Smith,Chula Vista
674,Jose,Reynolds,Morrisville
675,Mary,Mata,Greensboro
676,Robert,Smith,Caguas
678,Cheryl,Massey,Amarillo
679,Grace,Smith,Caguas
681,Mary,Sutton,Caguas
682,Emma,Smith,Salinas
683,Mary,Delgado,Harlingen
686,Mary,Myers,North Hollywood
687,Ronald,Harrison,Garden Grove
688,Kathy,Gross,Houston
689,Mary,Smith,Caguas
691,Mary,Terrell,Stafford
692,Ann,Smith,Phoenix
693,Mary,King,Caguas
694,Barbara,Marshall,Elmhurst
695,Sara,Smith,Roswell
697,Harold,Pratt,Washington
698,Mary,Smith,Caguas
699,Raymond,Richards,Houston
700,Mary,Cummings,Chula Vista
703,Joan,Kelly,Miami
704,Mary,Mccullough,Caguas
705,Timothy,Smith,Atlanta
707,Shawn,Ortiz,Caguas
709,Matthew,Klein,Caguas
710,Mary,Smith,Seattle
711,Barbara,Mccarthy,Caguas
712,Mary,Ayala,Vega Baja
713,James,Beasley,Moreno Valley
714,Mark,Beltran,Caguas
715,Mary,Smith,Dubuque
718,Alexander,Smith,Caguas
719,Mary,Hughes,Tucson
720,Thomas,Smith,Caguas
721,Catherine,Thompson,Lancaster
722,Diane,Schmitt,Caguas
723,Mary,Smith,Richmond
724,Lawrence,Mclaughlin,Caguas
725,Mary,Smith,San Bernardino
726,Barbara,Myers,Mililani
728,Anthony,Rosario,Philadelphia
730,Mary,Drake,Bronx
731,Robert,Smith,Lilburn
732,David,Cobb,Caguas
733,Alice,Sellers,Amarillo
734,Mary,Smith,Caguas
735,Charles,Ross,Saint Peters
736,Carol,Gill,Longview
738,Mary,Wood,Caguas
739,Daniel,Golden,Los Angeles
741,Johnny,Medina,Brooklyn
742,Mary,Park,Santa Maria
745,Mary,Smith,Caguas
746,Christopher,Bush,Santa Ana
747,Mary,Dyer,Paramount
748,Olivia,Smith,Del Rio
749,Jesse,Matthews,Caguas
750,Mary,Smith,Chicago
751,Benjamin,Juarez,Los Angeles
752,Mary,Smith,Caguas
753,Sandra,Stafford,New York
756,Robert,Smith,Peabody
757,Jane,Smith,Tempe
758,Mary,Sanders,Caguas
760,Emma,Rivas,Caguas
761,Sara,Rowland,Sunnyvale
762,Mary,Smith,Caguas
763,Michael,Carpenter,Chicago
764,David,Smith,Mililani
765,Diane,Miller,Caguas
766,Mary,Smith,Austin
767,Christine,Horne,Caguas
768,Mary,Smith,Indio
769,Lori,Bailey,Spokane
770,Mary,Dudley,Caguas
771,Patricia,Smith,Pawtucket
772,Mary,Watson,Caguas
774,Mary,Smith,Caguas
775,Donna,Bautista,College Station
776,Keith,Smith,Caguas
777,Mary,Mullins,Los Angeles
778,John,Buckley,Caguas
779,Kenneth,Smith,New Haven
780,Heather,Brennan,Caguas
781,Samuel,Smith,Miami
782,Mary,Joseph,Dallas
783,Cheryl,Kent,Broomfield
784,Mary,Smith,Los Angeles
785,Lauren,Gonzalez,Caguas
786,Mary,Green,Chicago
787,Amanda,Ochoa,Piscataway
788,Patrick,Smith,Caguas
789,Mary,Martinez,San Diego
790,Martha,Robinson,Honolulu
791,Mary,Smith,Canton
792,Evelyn,Jordan,Caguas
793,Mary,Smith,San Antonio
796,Donna,Smith,Tallahassee
798,Mary,Espinoza,Chandler
799,Danielle,Smith,Pompano Beach
800,Mary,Smith,Caguas
801,Elizabeth,Parker,Vista
802,Mary,Rogers,Caguas
803,James,Hartman,Miami
805,Stephen,Smith,Ypsilanti
806,Mary,Wells,Caguas
807,Kevin,Benjamin,Elk Grove
808,Mary,Smith,San Benito
809,Hannah,Avila,Caguas
810,Mary,Smith,Las Vegas
811,Jean,Mcintyre,Caguas
812,Mary,Smith,Bronx
813,Jack,Johnson,San Francisco
814,Mary,Stark,Chicago
815,Johnny,Smith,Caguas
816,Mary,Hopkins,Miami
817,Jack,Smith,Stockbridge
818,Mary,Kennedy,San Diego
819,Roy,Smith,Carolina
820,Mary,Brown,Caguas
822,Rebecca,Smith,Rowland Heights
823,Catherine,Small,Caguas
825,George,Ross,Aurora
826,Mary,Delacruz,Caguas
827,Tyler,Smith,New York
828,Johnny,Herrera,Caguas
829,Mary,Smith,West Orange
830,William,Herrera,Caguas
831,Daniel,Smith,Crystal Lake
832,Mary,Carroll,Caguas
833,Alexander,Smith,Dubuque
834,Mary,Stafford,Caguas
836,Mary,Anderson,Dearborn
838,Mary,Smith,Tinley Park
839,Lisa,Walker,Caguas
840,Mary,Kidd,Sylmar
841,David,Smith,Bronx
842,Patrick,Murphy,New Haven
843,Mary,Smith,Caguas
844,Jessica,Price,Las Vegas
845,Catherine,Smith,Carlsbad
846,Mary,Powell,Caguas
847,Jerry,Ferguson,San Diego
848,Mary,Smith,Los Angeles
849,Sandra,Barker,Caguas
851,Mary,Snyder,El Centro
852,Deborah,Smith,Caguas
853,Mary,Larson,Rowland Heights
855,Mary,Davis,Caguas
856,Dennis,Ramos,Fountain Valley
857,Mary,Duran,Houston
858,Robert,Smith,Caguas
859,Dorothy,Hawkins,Greensburg
860,Terry,Smith,Houston
861,Mary,Gentry,Caguas
863,Katherine,Scott,Caguas
864,Raymond,Kidd,Plano
865,Mary,Smith,Caguas
866,James,Davies,Quincy
867,Catherine,Smith,Caguas
868,Mary,Contreras,Irvington
869,Mary,Smith,Ontario
870,Linda,Delacruz,Caguas
872,Keith,Barnes,Caguas
873,Mary,Smith,Bay Shore
874,Shirley,Alexander,Phoenix
876,Andrea,Smith,Aurora
878,Mary,Smith,West Covina
879,Joseph,Thomas,Caguas
880,Mary,Guzman,Marietta
881,Marilyn,Orozco,Memphis
883,Margaret,Ayala,Santa Clara
884,Mary,Smith,Florissant
885,Donna,Powell,Chesapeake
886,Mary,Henderson,Caguas
888,Mary,Smith,Los Angeles
889,James,Sanders,San Marcos
890,Danielle,Smith,Caguas
892,Laura,Smith,Mesquite
893,Dennis,Mcbride,Ogden
894,Mary,Sawyer,Caguas
895,Dorothy,Villegas,Chicago
896,Mary,Smith,Caguas
897,Anthony,Schultz,Aurora
898,Cheryl,Smith,Tampa
901,Mary,Gillespie,Caguas
902,Virginia,Smith,Dearborn
903,Mary,Ramirez,San Jose
904,Elizabeth,Gonzales,Caguas
905,Virginia,Smith,Walnut
906,Mary,Savage,Caguas
907,Samantha,Kline,North Las Vegas
909,Laura,Ford,Kent
912,Mary,Roy,Las Vegas
913,William,Smith,Caguas
914,Jacob,Martinez,Bronx
915,Sean,Burton,Broken Arrow
916,Mary,Smith,Caguas
917,Andrew,Glenn,Palatine
918,Nathan,Smith,Caguas
919,Mary,Mitchell,Cypress
920,Megan,Schmidt,New Braunfels
921,Mary,Smith,Caguas
922,Stephanie,Willis,Lancaster
923,Mary,Smith,Norfolk
924,Willie,Klein,Eugene
925,Mary,Smith,Caguas
926,Ashley,Browning,Wilkes Barre
929,Alan,Smith,Pompano Beach
930,Mary,Franco,Mission Viejo
931,Robert,Smith,Caguas
932,Virginia,Sandoval,Middletown
933,Mary,Smith,Bridgeton
934,James,Santiago,Caguas
935,Melissa,Sharp,New York
936,Mary,Smith,Winnetka
937,Daniel,Cole,Caguas
938,Cheryl,Smith,Madison
939,Mary,Todd,Caguas
940,Steven,Smith,El Paso
941,Jeremy,Rowe,Modesto
942,Mary,Smith,Caguas
943,John,Cummings,Tucson
944,Stephanie,Smith,Wyoming
945,Carl,Reynolds,Indio
946,Mary,Smith,La Mesa
947,Mary,Henry,Caguas
948,Michelle,Smith,Lawrence
949,Mary,Sawyer,Caguas
950,Jordan,Smith,Las Vegas
951,Mary,Young,Caguas
952,Jack,Smith,Hesperia
954,Brandon,Fitzgerald,Richmond
955,Mary,Marks,Caguas
956,Karen,Smith,Bronx
957,Eric,Jones,Stockton
958,Peter,Acosta,Caguas
959,Mary,Smith,Tempe
961,David,Smith,Caguas
962,Mary,Bowers,Saint Peters
963,Eugene,Smith,Toms River
964,Mary,Frazier,New York
965,Sean,Smith,Jonesboro
966,Mary,Buchanan,Los Angeles
967,Madison,Smith,Caguas
968,Mary,Larson,Cleveland
969,Rose,Smith,Bakersfield
971,Jacqueline,Krueger,Douglasville
972,Mary,Smith,Caguas
973,Linda,Hart,Cleveland
974,George,Smith,Fresno
976,Shirley,Henson,Caguas
977,Virginia,Smith,Garden Grove
979,Mary,Smith,Austin
980,James,Harper,San Jose
981,Christine,Schwartz,Caguas
982,Mary,Robbins,New Albany
984,Amy,Smith,Chicago
985,Mary,Martinez,Richmond
986,Catherine,Hawkins,Caguas
987,Cheryl,Smith,Albuquerque
988,Mary,Brady,Pittsfield
989,Helen,Smith,Caguas
990,Mary,Ellison,Merced
991,John,Smith,Caguas
993,Mary,Davis,Fairfield
994,Lisa,Massey,Caguas
996,Amanda,Smith,Austin
997,Mary,Price,Caguas
998,Steven,Salinas,Anaheim
999,Mary,Stephenson,Saint Paul
1000,James,Smith,Freeport
1003,Tyler,Smith,Ann Arbor
1004,Mary,Evans,Caguas
1006,Mary,Little,Laredo
1007,Gary,Sutton,Caguas
1008,Mary,Smith,Sacramento
1009,John,Jones,Eagle Pass
1010,Carolyn,Moss,Walnut
1012,Mark,Watts,Silver Spring
1013,Frances,Smith,Caguas
1014,Mary,Maxwell,Jamaica
1015,Jordan,Smith,Glenview
1016,Mary,Wilson,Caguas
1018,Mary,Smith,Metairie
1019,Benjamin,Smith,Caguas
1021,Hannah,Hensley,Newburgh
1024,Paul,Alvarado,Bronx
1025,Megan,Todd,Caguas
1027,Betty,Evans,Caguas
1028,Virginia,Sanders,Austin
1029,Marilyn,Webster,Caguas
1030,Mary,Burnett,Colorado Springs
1031,Alexander,Smith,Cypress
1032,Mary,Jones,Caguas
1033,Sarah,Chapman,Miami
1034,Mary,Smith,Merced
1035,Nancy,Blair,Milford
1036,Mary,Kramer,Miami
1037,John,Smith,Caguas
1038,Christine,Briggs,Highland
1039,Mary,Smith,Caguas
1041,Karen,Coleman,Los Angeles
1042,Frances,Townsend,Caguas
1044,Linda,Pope,Caguas
1045,Ronald,Rivas,Huntington Station
1046,Mary,Smith,San Antonio
1049,Mary,Smith,Washington
1050,Gloria,Marshall,Hamtramck
1052,Daniel,Smith,Lakewood
